line,sample,mineral,confidence,source,wavelength
5,52,Sulfates,0.8812395111881436,SVM_ML,0.3750377358490566
5,53,Sulfates,0.9303636494724072,Physics_Rules,0.4337075471698113
5,54,Sulfates,1.0169704145971146,Physics_Rules,0.4337075471698113
5,55,Sulfates,0.9096764243716841,Physics_Rules,0.4337075471698113
5,56,Sulfates,0.847911399000405,SVM_ML,0.3750377358490566
5,57,Sulfates,0.7828824239557339,SVM_ML,0.3750377358490566
5,58,Sulfates,1.0191427205010628,Physics_Rules,0.4337075471698113
5,59,Sulfates,1.0368529125191965,Physics_Rules,0.4337075471698113
5,60,Sulfates,0.6835506854102166,SVM_ML,0.3750377358490566
5,61,Sulfates,0.8420126989609522,Physics_Rules,0.4337075471698113
6,3,Sulfates,0.8691569654913892,SVM_ML,0.3750377358490566
6,4,Sulfates,0.8872454496930472,SVM_ML,0.3750377358490566
6,5,Sulfates,0.8786545742576726,SVM_ML,0.3750377358490566
6,6,Sulfates,0.8757983311043122,SVM_ML,0.3750377358490566
6,7,Sulfates,0.8880985338858572,SVM_ML,0.3750377358490566
6,8,Sulfates,0.875456727951046,SVM_ML,0.3750377358490566
6,9,Sulfates,0.8919724656082311,SVM_ML,0.3750377358490566
6,10,Sulfates,0.8871839905804029,SVM_ML,0.3750377358490566
6,11,Sulfates,0.8900974387214096,SVM_ML,0.3750377358490566
6,12,Sulfates,0.8483740014066321,SVM_ML,0.3750377358490566
6,13,Sulfates,0.8911954657499587,SVM_ML,0.3750377358490566
6,14,Sulfates,0.9504823106180298,Physics_Rules,0.4337075471698113
6,15,Sulfates,0.8885259722665001,SVM_ML,0.3750377358490566
6,16,Sulfates,0.8838276277135471,SVM_ML,0.3750377358490566
6,17,Sulfates,0.8862981216736038,SVM_ML,0.3750377358490566
6,18,Sulfates,0.8846334798201116,SVM_ML,0.3750377358490566
6,19,Sulfates,0.882939947623785,SVM_ML,0.3750377358490566
6,20,Sulfates,0.8919879827188482,SVM_ML,0.3750377358490566
6,21,Sulfates,0.8919283099781484,SVM_ML,0.3750377358490566
6,22,Sulfates,0.8799442034283675,SVM_ML,0.3750377358490566
6,23,Sulfates,0.8874931923637516,SVM_ML,0.3750377358490566
6,24,Sulfates,0.8913615768551723,SVM_ML,0.3750377358490566
6,25,Sulfates,0.8914937070639242,SVM_ML,0.3750377358490566
6,26,Sulfates,0.8920480938340974,SVM_ML,0.3750377358490566
6,27,Sulfates,0.8914966556563251,SVM_ML,0.3750377358490566
6,28,Sulfates,0.8883614990393044,SVM_ML,0.3750377358490566
6,29,Sulfates,0.8844640759423729,SVM_ML,0.3750377358490566
6,30,Sulfates,0.8780484431233384,SVM_ML,0.3750377358490566
6,31,Sulfates,0.8919391484950192,SVM_ML,0.3750377358490566
6,32,Sulfates,0.8886719184131019,SVM_ML,0.3750377358490566
6,33,Sulfates,0.876823147760029,SVM_ML,0.3750377358490566
6,34,Sulfates,0.8841375474231364,SVM_ML,0.3750377358490566
6,35,Sulfates,0.873061188539034,SVM_ML,0.3750377358490566
6,36,Sulfates,0.87180199215679,SVM_ML,0.3750377358490566
6,37,Sulfates,0.8359935662589606,SVM_ML,0.3750377358490566
6,38,Sulfates,0.8859002772102146,SVM_ML,0.3750377358490566
