line,sample,Olivine,Low-Ca Pyroxene,High-Ca Pyroxene,Nontronite,Montmorillonite,Kaolinite,Gypsum,Kieserite,Carbonates,Hematite,Magnetite,Ilmenite,Hydrated silica,Sulfates
0,35,0.007963890301396033,0.007836469828007802,0.011750088516196648,0.09376267900548035,0.5164246971594394,0.014130236713447573,0.011518565932109447,0.010660759859137897,0.08784335226897826,0.005003953587151347,0.15705236868713757,0.15705236868713757,0.01181778364093739,0.8217290301248031
0,36,0.008014212530758185,0.007885986912893503,0.011824334974517903,0.09435514661364122,0.5196878814921244,0.014041511213580108,0.011591349445545974,0.010728123067633174,0.08839841683585771,0.0050355725686541545,0.15606621748530566,0.15606621748530566,0.011892457851207124,0.8269213714507795
0,37,0.008251845165778331,0.00811981747861073,0.012174943080625842,0.09715290896789104,0.5350973556223706,0.01363715058364658,0.0119350492041452,0.01104622695414701,0.09101955380267672,0.0051848843536526,0.15157189824474793,0.15157189824474793,0.012245085896096408,0.8514407492060054
0,38,0.011520152246730935,0.011335832373248284,0.016997070966110833,0.13563224709601382,0.747033285253285,0.02220936503492959,0.01666216235784261,0.015421304412188811,0.1270696548676031,0.007238460724333901,0.24684889973948335,0.24684889973948335,0.01709499523601669,1.1886707594323407
0,39,0.00855397401292311,0.00841711233140469,0.012620710232469357,0.10071001598984054,0.554689137086578,0.01315548246331418,0.012372033004037473,0.011450667869834166,0.0943520972890814,0.005374721063003933,0.14621833476570922,0.14621833476570922,0.012693421221184567,0.8421622357736234
0,40,0.008310185588719302,0.008177224467761488,0.012261019747642274,0.09783977859344309,0.5388804859907232,0.013541412994604101,0.01201942982501271,0.01112432361488895,0.09166306069817298,0.005221541409137177,0.15050781025836563,0.15050781025836563,0.012331658471777945,0.8574604226753831
0,41,0.00828937970447623,0.008156751473038393,0.012230322315575576,0.09759482099459647,0.5375313121494568,0.013575401191706608,0.01198933725211684,0.011096472084144807,0.0914335675045625,0.0052084684416361495,0.15088557653154308,0.15088557653154308,0.012300784184320745,0.8553136327984626
0,42,0.010466157240765725,0.010298701052934978,0.015441984928128934,0.12322306117335363,0.4928387015754115,0.010751955328966771,0.015137717581626147,0.014010387482637957,0.09033441898358745,0.006576203725387716,0.11950401728411841,0.11950401728411841,0.01105166851251584,0.6882978837174198
0,43,0.011908174547420812,0.011717646403436198,0.017569567096370826,0.14020061871461542,0.7721948949115394,0.021485683257895054,0.017223378080872067,0.01594072550051295,0.13134962085881552,0.007482266893172203,0.23880544374055973,0.23880544374055973,0.017670789656063904,1.2287076229181177
0,44,0.007788295515715548,0.00766368451984009,0.011491012336510129,0.091695317841313,0.5050381159050589,0.01444881680357199,0.011264594563889988,0.010425702145908445,0.08590650557328453,0.004893622062678074,0.16059326887057085,0.16059326887057085,0.011557214860214106,0.8036108331794107
0,45,0.010161005573703582,0.009998431744669948,0.014991757845239996,0.1196303650507413,0.6588983559097246,0.024460506154664212,0.014696361728729434,0.013601900107743434,0.11207798679263956,0.006384467686688997,0.27986766529253604,0.27986766529253604,0.015078129017339447,1.048431474967519
0,46,0.009131251235278507,0.008985153246608056,0.013472436989663767,0.1075065760689511,0.564887244049829,0.01232379355458869,0.01320697742129546,0.012223432637651493,0.10071958409277748,0.005737441833665438,0.1369744193398727,0.1369744193398727,0.012667322083738755,0.7889207835658769
0,47,0.011583667499418037,0.011398331396020304,0.017090782683997156,0.13638004246037363,0.44529311164035196,0.00971468277419987,0.01580366561184082,0.015506328292561832,0.08161959356852556,0.0072783692821485136,0.10797511546853417,0.10797511546853417,0.009985481750975795,0.6218957752227197
0,48,0.008029185830100887,0.007900720642777276,0.011846426890151815,0.09453143440852413,0.5206588368023922,0.014015325775221386,0.011613006064255277,0.01074816688322459,0.08856357541527196,0.005044980746331368,0.15577517599727214,0.15577517599727214,0.011914677043753262,0.828466344357361
0,49,0.007644409541474684,0.007522100689182046,0.011278719993247558,0.09000127963817854,0.4957077173359319,0.014720777910722283,0.011056485208000351,0.010233091027418897,0.08431941360648659,0.004803214145228844,0.16361601625512687,0.16361601625512687,0.011343699449002837,0.7887644104404157
0,50,0.008287158282633883,0.008154565593451398,0.012227044783830205,0.09756866713570873,0.5373872623121556,0.013579040158370147,0.01198612430053339,0.011093498406217194,0.09140906476355892,0.005207072654982142,0.15092602230366084,0.15092602230366084,0.01229748776991589,0.8550844223564635
0,51,0.006969082717927013,0.006857578944595995,0.0102823288258986,0.0820503348381238,0.4519156211196998,0.01614726925671048,0.010079726833843401,0.009329073415446759,0.07687041948269897,0.00437888583917489,0.17947094135952651,0.17947094135952651,0.010341567829207813,0.7190829313228776
0,52,0.007300016013610346,0.007183217381158967,0.01077059465705329,0.08594657037139615,0.4733752495846076,0.015415261406118583,0.010558371923265412,0.00977207303763576,0.08052068197628823,0.004586821256335538,0.1713349441243472,0.1713349441243472,0.010832646678860278,0.7532292449718992
0,53,0.005907889740781452,0.005813364819040145,0.00871662275231786,0.0695564037675857,0.3831017322902601,0.014222014968621863,0.008544871278161037,0.007908521013868687,0.06516524211474571,0.003712106136833124,0.2117080532436153,0.2117080532436153,0.008766841341201063,0.6095870639912778
0,54,0.00635766881600984,0.006255947529110701,0.009380236105422452,0.074851867348573,0.4122680083089986,0.015304764481754253,0.009195408859271762,0.00851061201829079,0.07012639806406566,0.003994715958382292,0.19673057405084457,0.19673057405084457,0.00943427793262902,0.6559961064655399
