line,sample,mineral_1,sim_1,mineral_2,mineral_3
2,32,Sulfates,1.2562804281233986,Montmorillonite,Ilmenite
2,33,Sulfates,0.827415605507596,Montmorillonite,Ilmenite
2,34,Sulfates,0.8099668936127395,Montmorillonite,Ilmenite
2,35,Sulfates,0.8021194001262217,Montmorillonite,Ilmenite
2,36,Sulfates,0.7691156857123028,Montmorillonite,Ilmenite
2,37,Sulfates,0.7694162533080859,Montmorillonite,Ilmenite
2,38,Sulfates,0.7971306508591577,Montmorillonite,Ilmenite
2,39,Sulfates,0.7547441855500719,Montmorillonite,Ilmenite
2,40,Sulfates,0.7791560328700264,Montmorillonite,Ilmenite
2,41,Sulfates,0.7488102807836573,Montmorillonite,Ilmenite
2,42,Sulfates,0.7417394046050846,Montmorillonite,Ilmenite
2,43,Sulfates,0.8518715092767185,Montmorillonite,Ilmenite
2,44,Sulfates,0.8385627082968294,Montmorillonite,Ilmenite
2,45,Sulfates,0.7222190553663471,Montmorillonite,Ilmenite
2,46,Sulfates,0.6771440415441825,Montmorillonite,Nontronite
2,47,Sulfates,0.7702275685449173,Montmorillonite,Ilmenite
2,48,Sulfates,0.7979760732948639,Montmorillonite,Ilmenite
2,49,Sulfates,0.7594974957141456,Montmorillonite,Ilmenite
2,50,Sulfates,1.111049210908577,Montmorillonite,Ilmenite
2,51,Sulfates,0.6834132061350771,Montmorillonite,Ilmenite
2,52,Sulfates,0.8174600504780134,Montmorillonite,Ilmenite
2,53,Sulfates,0.7172566839397658,Montmorillonite,Ilmenite
2,54,Sulfates,0.7603155569814519,Montmorillonite,Ilmenite
2,55,Sulfates,0.5903332356602156,Montmorillonite,Ilmenite
2,56,Sulfates,0.6988409267003917,Montmorillonite,Ilmenite
2,57,Sulfates,0.7875951695817553,Montmorillonite,Ilmenite
2,58,Sulfates,0.8252514218469194,Montmorillonite,Ilmenite
2,59,Sulfates,0.7268613496974116,Montmorillonite,Ilmenite
2,60,Sulfates,0.8215687346448471,Montmorillonite,Ilmenite
2,61,Sulfates,0.6954850345985971,Montmorillonite,Ilmenite
3,3,Sulfates,0.6820728454573303,Montmorillonite,Ilmenite
3,4,Sulfates,0.6984397883773239,Montmorillonite,Ilmenite
3,5,Sulfates,0.7204788811727134,Montmorillonite,Ilmenite
3,6,Sulfates,0.672702306442662,Montmorillonite,Ilmenite
3,7,Sulfates,0.7541764843532198,Montmorillonite,Ilmenite
